kammubinduvihāraṃ	
tadanataraṃ	
evaṃsampadameve	
tinnaṭṭhāne	
bhūtadevaṭṭonāgasupaṇṇāvaṭṭoti	
paṇḍumuṭīkassa	
nadīñca	
tiādivacanaṃ	
pāpupurekkhāro	
panānananda	
cittassāhametenti	
vekurañjāya	
ussati	
payyapenti	
acariya	
dvattiṃsūcandānaṃ	
tuṇhībhū	join
disvāno	needs to join next word
kālyāṇavācotiādīsu	kalyāṇavācotiādīsu
dvārasālāyānti	dvārasālāyanti
hatthivittako	hatthivitakko
imaṃye	imaṃyeva
māhārāhulovādasuttavaṇṇanā	mahārāhulovādasuttavaṇṇanā
nāḷakaraññikiṭāgirināmo	not hyphenated
nti	āvesanenti
paññpemīti	paññapemīti
ruḷahanīyanti	ruḷhanīyanti
tametthaṃ	tamettha
tenupaṅkamiṃsu	tenupasaṅkamiṃsu
tesaṃye	tesaṃyeva
viññāyana	viññāya
citeti	ceteti
payhaṃ	pañhaṃ
vigatūpattilese	vigatūpakkilese
purapuggalānaṃ	parapuggalānaṃ
ācariyāmahayugā
tūṇhībhūtova	tuṇhībhūtova
rathiyāpī	rathiyāpi
karissatī	karissatīti
vijitāpī	vijitāvī
ssabbattha	sabbattha
atāpī	ātāpī







