code	mūla	aṭṭhakathā	ṭīkā
dn0		s0101a.att0.xml.original.txt	s0101t.tik0.xml.original.txt
dn1	s0101m.mul0.xml.original.txt	s0101a.att1.xml.original.txt	s0101t.tik1.xml.original.txt
dn2	s0101m.mul1.xml.original.txt	s0101a.att2.xml.original.txt	s0101t.tik2.xml.original.txt
dn3	s0101m.mul2.xml.original.txt	s0101a.att3.xml.original.txt	s0101t.tik3.xml.original.txt
dn4	s0101m.mul3.xml.original.txt	s0101a.att4.xml.original.txt	s0101t.tik4.xml.original.txt
dn5	s0101m.mul4.xml.original.txt	s0101a.att5.xml.original.txt	s0101t.tik5.xml.original.txt
dn6	s0101m.mul5.xml.original.txt	s0101a.att6.xml.original.txt	s0101t.tik6.xml.original.txt
dn7	s0101m.mul6.xml.original.txt	s0101a.att7.xml.original.txt	s0101t.tik7.xml.original.txt
dn8	s0101m.mul7.xml.original.txt	s0101a.att8.xml.original.txt	s0101t.tik8.xml.original.txt
dn9	s0101m.mul8.xml.original.txt	s0101a.att9.xml.original.txt	s0101t.tik9.xml.original.txt
dn10	s0101m.mul9.xml.original.txt	s0101a.att10.xml.original.txt	s0101t.tik10.xml.original.txt
dn11	s0101m.mul10.xml.original.txt	s0101a.att11.xml.original.txt	s0101t.tik11.xml.original.txt
dn12	s0101m.mul11.xml.original.txt	s0101a.att12.xml.original.txt	s0101t.tik12.xml.original.txt
dn13	s0101m.mul12.xml.original.txt	s0101a.att13.xml.original.txt	s0101t.tik13.xml.original.txt
mn0		s0201a.att0.xml.original.txt	s0201t.tik0.xml.original.txt
mn1	s0201m.mul0.xml.original.txt	s0201a.att1.xml.original.txt	s0201t.tik1.xml.original.txt
mn11	s0201m.mul1.xml.original.txt	s0201a.att2.xml.original.txt	s0201t.tik2.xml.original.txt
mn21	s0201m.mul2.xml.original.txt	s0201a.att3.xml.original.txt	s0201t.tik3.xml.original.txt
mn31	s0201m.mul3.xml.original.txt	s0201a.att4.xml.original.txt	s0201t.tik4.xml.original.txt
mn41	s0201m.mul4.xml.original.txt	s0201a.att5.xml.original.txt	s0201t.tik5.xml.original.txt
			
mn131	s0203m.mul3.xml.original.txt	s0203a.att3.xml.original.txt	s0203t.tik3.xml.original.txt
